id,text,group_id
21,"Увеличить длины выпускаемого телескопического крепежа до 600мм, т.к. бывает в расчетах ПРЦ и проектах заказчиков толщина утеплителя с уклонообразующим слоем доходит до 600мм и более.",109
22,"Необходимо увеличить длину производимого телескопического крепежа до 600 мм, так как в некоторых расчетах ПРЦ и проектах клиентов толщина утеплителя вместе с уклонообразующим слоем превышает 600 мм.",109
23,"Предлагается увеличить длину телескопического крепежа до 600 мм, потому что в расчетах ПРЦ и проектах заказчиков наблюдаются случаи, когда совокупная толщина утеплителя и уклонообразующего слоя достигает 600 мм и более.",109
24,"Следует изменить длину выпускаемого телескопического крепежа до 600 мм, так как бывает, что в расчетах ПРЦ и проектах заказчиков толщина утеплителя с уклоном достигает и превышает 600 мм.",109
25,"Прописать в Техническом листе к Техноэласт Барьер применение только для антикоррозийной защиты зданий, для мелко заглубленных фундаментов, без эксплуатируемых помещений.
Сейчас есть случаи применения для ГИ заглубленных эксплуатируемых помещений.",594
26,"Включить в Технический лист для Техноэласт Барьер использование исключительно для антикоррозионной защиты строений, для малозаглубленных фундаментов без жилых помещений. Встречаются случаи применения для гидроизоляции заглубленных помещений с эксплуатацией.",594
27,"Указать в Техническом листе Техноэласт Барьер, что он предназначен только для защиты от коррозии зданий и фундаментов с небольшой глубиной, не предназначенных для использования. Известны случаи использования для герметизации глубоких жилых помещений.",594
28,"Установить в Техническом листе Техноэласт Барьер, что его применение ограничено антикоррозийной защитой строений и фундаментов с малой степенью заглубления без эксплуатации помещений. Зафиксированы ситуации, когда материал применялся для гидроизоляции заглубленных эксплуатируемых объектов.",594
29,"Рассмотреть возможность приемки старой битумной гидроизоляции на утилизацию через ТЕХНОНИКОЛЬ (сейчас большинство подрядчиков делает это неофициально, «под черным флагом»).

",56
30,"Изучить возможность официальной утилизации старой битумной гидроизоляции через ТЕХНОНИКОЛЬ, так как многие подрядчики в настоящее время делают это нелегально.",56
31,"Рассмотреть вариант организованной утилизации отработанной битумной гидроизоляции через ТЕХНОНИКОЛЬ, поскольку сейчас она зачастую утилизируется неофициально.",56
32,"Оценить перспективы официальной утилизации битумной гидроизоляции посредством ТЕХНОНИКОЛЬ, учитывая, что подрядчики чаще всего действуют в обход правил.",56
33,Отклонить инициативу,750
34,Не принимать предложение.,750
35,Отказать в поддержке идеи.,750
36,Не одобрить план.,750
37,"Нет сортировки в личном кабинете на сайте ROOF (№/дата/А-Я).
Дима Майоров присутствовал при этом обсуждении и в курсе. вероятно уже задача может быть выполнена. Идея была добавить сортировку  заказов",240
38,"В личном кабинете на платформе ROOF отсутствует функция сортировки (по номеру/дате/алфавиту). Дима Майоров участвовал в этом обсуждении и осведомлён. Возможно, задача уже решена. Предлагалось добавить сортировку заказов.",240
39,"На сайте ROOF в личном кабинете нет опции сортировки (№/дата/А-Я). Дима Майоров принимал участие в обсуждении и знает об этом. Вероятно, задача уже может быть выполнена. Идея заключалась в добавлении сортировки заказов.",240
40,"Отсутствие сортировки (по номеру/дате/алфавиту) в личном кабинете ROOF обсуждалось с Димой Майоровым, который в курсе ситуации. Возможно, решение уже имеется. Планировалось внедрить сортировку для заказов.",240
41,"Подрядные организации заинтересовало создание «Чат-Бота» для оперативного решения вопросов. Подрядные организации будут задавать интересующие их вопросы и сразу получать ответы по ним, по аналогии с ""чат ботом"" портала гос. услуг.",764
42,"Строительные компании проявили интерес к разработке Чат-Бота для быстрого ответа на их вопросы. Компании смогут задавать свои запросы и незамедлительно получать ответы, аналогично системе чат-ботов на портале госуслуг.",764
43,"Фирмы-подрядчики заинтересовались проектом Чат-Бота, который поможет им оперативно решать возникающие вопросы. Организации будут иметь возможность задавать свои вопросы и получать мгновенные ответы, как это реализовано в чат-боте госуслуг.",764
44,"Компании, занимающиеся подрядами, выразили интерес к разработке Чат-Бота, способного оперативно решать их вопросы. Они смогут запрашивать информацию и получать немедленные ответы, как в чат-боте на сайте госуслуг.",764
45,"Запрос на введение в комплектацию воронок с боковым отводом, аналоги HL64В.
Достаточно часто встречаются в проектах, у нас в комплектации нет аналогов.",86
46,"Требуется включить в состав воронки с боковым выходом, аналогичные HL64В. В проектах они встречаются довольно часто, а у нас подобных изделий нет.",86
47,"Необходимо предусмотреть в составе воронки с боковым отводом, аналоги HL64В. Эти элементы часто фигурируют в проектах, а в нашей комплектации их нет.",86
48,"Рассмотрите возможность включения в комплект воронок с боковым выпуском, схожих с HL64В. Мы часто видим их в проектах, но подобных воронок у нас нет.",86
49,Сделать калькулятор расчета количества воронок.,352
50,Создать инструмент для подсчета количества воронок.,352
51,Разработать программу для вычисления числа воронок.,352
52,Сделать программу для подсчета воронок.,352
53,"•	Самые ходовые цвета в КМС по версии подрядчиков RAL8017 Шоколадно-коричневый, 7024 серый графит, Антрацит 7016 менее используют. Провести опрос среди подрядных организаций для выявления потребности в данных цветах. В случае потребности ввести данные цвета в продуктовую линейку.",1090
54,"• По мнению подрядчиков, наиболее востребованными цветами КМС являются RAL8017 шоколадно-коричневый и 7024 серый графит, тогда как антрацит 7016 используют реже. Организовать опрос среди подрядчиков, чтобы определить нужду в этих оттенках. При наличии спроса включить их в линейку продукции.",1090
55,"• Подрядчики считают, что цвета RAL8017 шоколадно-коричневый и 7024 серый графит наиболее популярны в КМС, в отличие от редко используемого антрацита 7016. Провести анкетирование среди подрядчиков для оценки необходимости в этих цветах. В случае востребованности добавить их в ассортимент.",1090
56,"• Согласно оценкам подрядных организаций, цвета RAL8017 шоколадно-коричневый и 7024 серый графит чаще всего используются в КМС, а антрацит 7016 менее популярен. Необходимо провести опрос среди подрядчиков, чтобы выяснить заинтересованность в подобных цветах. Если существует потребность, добавить их в продуктовую серию.",1090
57,"Актуальные темы: финансы и налогообложение (особенно когда есть ООО и ИП), юридические аспекты при взаимодействии с заказчиком.",1105
58,"Важные вопросы: управление финансами и налоговые обязательства, особенно для ООО и ИП, а также правовые нюансы в работе с клиентами.",1105
59,"Основные темы: финансовые и налоговые вопросы в контексте ООО и ИП, плюс юридические стороны при взаимодействии с клиентами.",1105
60,"Ключевые аспекты: организация финансов и налоги, с фокусом на ООО и ИП, и правовые моменты при взаимодействии с заказчиками.",1105
61,Прописать запрет на применение составов TRIFLE в безстяжечных системах. При просадке утеплителя под снеговой нагрузкой разрывается.,917
62,Установить запрет на использование TRIFLE в системах без стяжки. При оседании утеплителя под воздействием снежной нагрузки происходит разрыв.,917
63,"Запретить применение составов TRIFLE в системах, не содержащих стяжку. При давлении снега утеплитель оседает и разрывается.",917
64,Не допускать использования TRIFLE в бесстяжечных системах. Из-за давления снега происходит проседание утеплителя и разрыв.,917
65,"Есть спрос на НГ пешеходные дорожки. Готовое техническое решение позволит согласовывать и применять на объектах узел без дополнительных сложностей. Можно сразу добавить в альбомы технических решений к системам на Навигаторе.

Дополнение: как и из каких материалов выполнить НГ-дорожки",527
66,Существует запрос на пешеходные дорожки НГ. Завершенное техническое решение упрощает процесс согласования и применения узла на объектах. Возможно добавить его в альбомы технических решений на Навигаторе.,527
67,Пешеходные дорожки НГ пользуются спросом. Подготовленное техническое решение способствует легкому согласованию и внедрению узла на объектах. Его можно интегрировать в альбомы технических решений системы Навигатора.,527
68,Наблюдается интерес к НГ пешеходным дорожкам. Готовое техническое решение позволяет без трудностей согласовывать и внедрять узел на объектах. Оно может быть добавлено в альбомы технических решений на платформе Навигатор.,527
69,Есть интерес к пешеходным дорожкам НГ. Завершенное техническое решение поддерживает легкость согласования и применения узла в проектах. Интеграция в альбомы технических решений Навигатора возможна.,527
70,"Просят подробно расписать варианты устройства контруклонов из металлического профиля и профлиста. Требуется для кровель с большой величиной основного уклона, где контруклон сложно выполнить из клиновидной теплоизоляции.",822
71,"Просят детально описать методы создания контруклонов с использованием металлических профилей и профлиста. Это необходимо для крыш с значительным углом основного уклона, где трудно сделать контруклон из клиновидной теплоизоляции.",822
72,"Требуется подробно изложить способы организации контруклонов с применением металлического профиля и профилированного листа. Нужно для кровель с крутым основным наклоном, где контруклон из клиновидной теплоизоляции затруднительно создать.",822
73,"Запрашивают подробное описание вариантов устройства контруклонов с использованием металлопрофиля и профлистов. Это актуально для крыш с большим основным уклоном, когда сложно выполнить контруклон из клиновидной теплоизоляции.",822
74,Рассмотреть разработку материала для финишной отделке цоколя (мозаичную) как у Ceresit и Baumit.,1023
75,"Изучить создание материала для мозаичной отделки цоколя, аналогично Ceresit и Baumit.",1023
76,"Проанализировать разработку мозаичного материала для отделки цоколя, схожего с предложениями от Ceresit и Baumit.",1023
77,"Рассмотреть возможность разработки мозаичного материала для цокольной отделки, как у брендов Ceresit и Baumit.",1023
78,Распредкоробку для лент и фартуков для воронок с обогревом выводить на вертикальные конструкции для исключения повреждения.,428
79,"Для защиты от повреждений, выводите распределительную коробку кабеля для обогреваемых лент и фартуков у воронок на вертикальные элементы.",428
80,"Чтобы избежать повреждений, монтируйте распределительную коробку для обогревательных компонентов лент и фартуков воронок на вертикальные конструкции.",428
81,"Установите распределительную коробку для обогревательных лент и воронок на вертикальных конструкциях, чтобы предотвратить повреждения.",428
82,"Для предотвращения повреждений, распределительную коробку для обогреваемых воронок и лент разместите на вертикальных элементах.",428
83,"Выпустить воронки XL503 длиной 700мм, т.к. в случае, если основанием для кровли служит жб плита, то не хватает длины 450мм.",101
84,"Необходимо изготовить воронки XL503 длиной 700 мм, поскольку длины 450 мм недостаточно, если в качестве основания кровли используется железобетонная плита.",101
85,"Следует производить воронки XL503 длиной 700 мм, так как длины 450 мм не хватает при использовании железобетонной плиты в качестве кровельного основания.",101
86,"Рекомендуется выпускать воронки XL503 с длиной 700 мм, ведь при кровле с железобетонной плитой длина 450 мм оказывается недостаточной.",101
87,"Качество клея от знаменитых брендов, таких как Капарол и Церезит сильно упало. Очень ждут появления системы ТН Фасад Профи в регионе- считают самое время «захватывать рынок»",557
88,"Качество продукции известных марок, таких как Caparol и Ceresit, заметно снизилось. Появления системы TN Фасад Профи в регионе ждут с нетерпением, полагая, что это удачный момент для расширения на рынке.",557
89,"Продукция таких известных брендов, как Caparol и Ceresit, стала менее качественной. Появление системы TN Фасад Профи в регионе рассматривают как хорошую возможность расширить присутствие на рынке.",557
90,"Есть запрос рассмотреть возможность удаления защитной цементно-песчаной стяжки из системы «Адгезив». По словам Подрядчиков, решение со стяжкой неэффективное",969
91,"Запрошено изучить возможность исключения защитной стяжки из цементно-песчаного состава в системе «Адгезив». Подрядчики сообщили, что такое решение является неэффективным.",969
92,Получено предложение рассмотреть опцию удаления цементно-песчаной стяжки из системы «Адгезив». Подрядчики считают данный подход неэффективным.,969
93,"Предложено проанализировать вариант исключения защитной цементно-песчаной стяжки из системы «Адгезив». По мнению подрядчиков, такое решение оказывается неэффективным.",969
94,"Производить клиновидную теплоизоляцию непосредственно под определенный объект и его конфигурацию, под объекты с нестандартной планировкой где невозможно сформировать уклоны с применением имеющийся клиновидной теплоизоляции (смещение оси установки воронок, разность высоты установки воронок или конька разных участков кровли, невозможность сделать ендовы основного уклона под 45 %), чтобы собрать уклоны как «мозаику» по чертежу, с минимальным количеством отходов. Данное решение успешно выполняет организация из Казани по производству пенопласта - данное решение станет конкурентным по сравнению с керамзитом.
    
",156
95,"Организовать производство клиновидной теплоизоляции, адаптированной под специфический объект и его конфигурацию, в случаях, когда стандартная планировка не позволяет создать уклоны с использованием существующей клиновидной изоляции. Это касается случаев, когда смещены оси установки воронок или различается высота установки на разных участках крыши, а также когда невозможно сделать ендовы основного уклона под углом 45 градусов. Система собирает уклоны как «мозаику» согласно чертежу, с минимальными отходами. Данное решение реализуется компанией из Казани, специализирующейся на производстве пенопласта, и конкурентоспособно по сравнению с керамзитом.",156
96,"Разрабатывать клиновидную теплоизоляцию индивидуально для каждого объекта и его особенностей, особенно когда стандартные методы не позволяют создать нужный уклон. Это актуально для случаев с нестандартными планировками, где оси воронок смещены или высота их установки различна на разных секциях крыши, а ендовы невозможно сделать под углом 45%. Метод позволяет собирать уклоны по чертежу как «мозаику» и практически без отходов. Казанская организация, занимающаяся выпуском пенопласта, успешно реализует это решение, делая его конкурентоспособным по отношению к керамзиту.",156
97,"Создавать клиновидную теплоизоляцию, следуя уникальным требованиям конкретного объекта и его архитектуры, особенно там, где не удается сформировать уклоны с помощью стандартных материалов. Это включает ситуации со смещенными осями установки воронок или с различной высотой их размещения в разных частях крыши, и когда основным уклоном ендовы нельзя сделать угол 45 градусов. Технология позволяет собирать уклоны в виде «мозаики» по чертежу с минимизацией отходов. Казанская фирма, занимающаяся производством пенопласта, успешно реализует данный подход, конкурируя с керамзитовым решением.",156
98,Ввести в комплектацию R-крепеж длиной 75 и 100 мм - данная длина необходима при формировании небольших контруклонов шириной в коньке до 1800 мм от оси ендовы с толщиной уложенной КВ в 50 мм под слой клиновидной ТИ.,158
99,Добавить в комплект крепеж R длиной 75 и 100 мм - эти размеры необходимы для создания малых контруклонов с шириной на коньке до 1800 мм от оси ендовы и толщиной уложенной КВ в 50 мм под клиновидный слой теплоизоляции.,158
100,"Включить в набор R-крепеж с длиной 75 и 100 мм, что требуется для обустройства небольших контруклонов, когда ширина конька до 1800 мм от оси ендовы и уложенная КВ имеет толщину 50 мм под клиновидный теплоизоляционный слой.",158
101,"Внедрить R-крепеж длиной 75 и 100 мм для обеспечения необходимых конструкций; эта длина пригодится при формировании малых контруклонов шириной до 1800 мм на коньке от оси ендовы, где КВ толщиной 50 мм находится под клиновидной теплоизоляцией.",158
102,"Применить анализ предложений подрядчиков на roof.ru для заказчика по аналогии с Авито (например, «подрядчик сертифицирован», «соответствует рынку», «расширенная гарантия», «надежный партнер» и др.) Подсвечивать заведомо низкие, подозрительные КП",44
103,"Использовать методику оценки предложений подрядчиков на roof.ru для клиента, подобно тому, как это делается на Авито (например, такие метки, как «сертифицированный подрядчик», «отвечает рыночным стандартам», «длительная гарантия», «доверенный партнер» и прочее). Выделять подозрительно низкие или сомнительные коммерческие предложения.",44
104,"Применить систему проверки предложений подрядчиков для заказчика на платформе roof.ru, аналогично подходу Авито (скажем, как «подрядчик с сертификатом», «рыночное соответствие», «гарантия выше среднего», «надежный сотрудничество» и другие). Обозначать заведомо заниженные и подозрительные коммерческие предложения.",44
105,"Расчеты для направления КМС платные, при этом имеют большое количество неточностей.  Подрядчикам приходится пересчитывать. Часто остается большое количество комплектующих или наоборот не хватает. У заказчика появляется недовольство предоставленным сервисом, понижается лояльность к Технониколь. 
Предлагают проработать систему расчетов для небольших объектов. Сделать ее более оптимизированной с учетом небольшого количества материалов относительно ПГС.
Примеры подрядчики приводят без точных адресов: объект в Поповке МО, объект в Карелии, объект в ЛО...
Клиновидная теплоизоляция продается поддонами, на небольших объектах КМС материал полностью не вырабатывается и остается. 
Если в расчетах необходимо небольшое количество (10-20 шт) телескопического крепежа, не происходит перерасчета с учетом оптимизации. Продается крепеж коробками, соответственно перерасход.",460
106,"Услуги по расчетам для направления КМС оплачиваются, но содержат много ошибок. Подрядчики вынуждены пересчитывать сами. Часто остаются излишки материалов или их не хватает. Заказчики недовольны сервисом ТехноНИКОЛЬ, их лояльность снижается. Рекомендуется доработать систему расчетов для небольших объектов, улучшив её с учетом малых объемов материалов по сравнению с ПГС. Подрядчики приводят примеры без указания точных адресов: объект в МО, объект в Карелии, объект в ЛО. Клиновидная теплоизоляция отпускается поддонами, на небольших объектах КМС материал остается невостребованным. Мелкие партии телескопического крепежа (10–20 шт) не оптимизируются, крепеж реализуется в коробках, что ведет к перерасходу.",460
107,"Платные расчеты для КМС часто содержат множество ошибок. Подрядчики вынуждены их пересчитывать. В результате либо излишки комплектующих, либо их нехватка. Это вызывает недовольство у заказчиков, снижая их верность компании ТехноНИКОЛЬ. Предлагается улучшить расчетную систему для малых объектов, оптимизировав её для небольших объемов относительно ПГС. Примеры подрядчиков без точной локации: объект в МО, Карелии, ЛО. Клиновидная теплоизоляция продается поддонами, и её остатки на малых КМС объектах не используются. Без оптимизации в расчетах для малых партий телескопического крепежа (10-20 штук) требуется продавать его коробками, что ведет к излишкам.",460
108,"Клиенты оплачивают не всегда точные расчеты для КМС. Подрядчикам приходится производить пересчет. Это приводит к переизбытку компонентов или их недостатку. У клиентов сокращается доверие к сервису ТехноНИКОЛЬ. Рекомендуется оптимизировать систему для счетов на мелких объектах, учитывая малые объемы материалов против ПГС. Подрядчики упоминают примеры объектов без конкретных адресов: в Москве, в Карелии, в Ленинградской области. Клиновидная теплоизоляция продается поддонами, остаётся неиспользованной на маленьких объектах КМС. При необходимости малого числа телескопических крепежей (10-20), их перерасчет не предусмотрен и товар продается коробками, что приводит к лишним расходам.",460
109,"Ввести отдельно в комплектацию прижимные фланцы для кровельных воронок (синий, 
красный), так как постоянно теряют, и из-за фланца приходится покупать новую воронку",290
110,"Добавить прижимные фланцы для кровельных воронок в комплект отдельно (синий, красный), так как они часто теряются и в итоге приходится приобретать новую воронку.",290
111,"Включить в комплект к кровельным воронкам прижимные фланцы (красный, синий) отдельно, поскольку их нередко теряют и это вынуждает покупать новую воронку.",290
112,"Предусмотреть в комплектации кровельных воронок отдельные прижимные фланцы (красный, синий), ибо они часто пропадают, что ведёт к необходимости покупки новой воронки.",290
113,"Подрядчики просят выпустить на рынок пвх мембрану с теснением, но не Арктик или Сибирь, а как обычную пвх мембрану по типу Logicroof V-RP.
 
Предложение: Необходимо рассмотреть вариант выпуска мембраны Logicroof V-RP с теснением как дополнительную позицию в ассортимент. Аналог такой мембраны есть у компании Protan мембрана называется Protan se.
Фото мембраны Protan se. 
Цвет мембраны темно-серый, мало видно загрязнений на кровле по сравнению с нашей обычной светло-серой мембраной на фото logicroff.",275
114,"Строители запрашивают выпуск ПВХ мембраны с текстурой, не в версиях Арктик или Сибирь, а аналогичной Logicroof V-RP.",275
115,Рассмотрите добавление тесненной мембраны Logicroof V-RP в линейку товаров. Похожая модель есть у Protan под именем Protan se.,275
116,Protan se – пример такого продукта. Её тёмно-серый цвет делает загрязнения на крыше менее заметными по сравнению с нашим светло-серым вариантом Logicroof.,275
117,"В системах, где применяются сборные стяжки, прописать в альбомах узлов, какой именно крепеж рекомендуется применять. ",96
118,Для сборных стяжек необходимо в узловых альбомах указать рекомендуемый тип крепежа.,96
119,"В альбомах узлов следует обозначить, какой крепеж предпочтителен при использовании сборных стяжек.",96
